SiteName,WindDirection,WindPower,Gust,Visibility,Temperature,Moisture,AtmosphericPressure,Weather,Rainfall1day,Unit,DataCreationDate
南沙島,東北東,5,,10,31.0(-0.7),73,1011.2,多雲,4.0,中央氣象局,107/4/8 14:00:00
東沙島,東北,4,,10,24.2(+2.4),79,1018.5,多雲,0.0,中央氣象局,107/4/8 14:00:00
金門,東,3,,18,22.0(+1.1),39,1021.3,晴,0.0,中央氣象局,107/4/8 14:00:00
東吉島,北,4,,18,24.5(+4.5),59,1019.9,晴,0.0,中央氣象局,107/4/8 14:00:00
澎湖,北,3,,25,24.0(+4.3),52,1019.3,晴,0.0,中央氣象局,107/4/8 14:00:00
蘭嶼,北北東,3,7,20,19.1(+2.1),62,1020.3,多雲,0.0,中央氣象局,107/4/8 14:00:00
大武,北北東,2,,10,21.8(+1.6),58,1019.9,陰,0.0,中央氣象局,107/4/8 14:00:00
臺東,東北,2,,15,20.8(+0.7),61,1020.5,陰,0.0,中央氣象局,107/4/8 14:00:00
成功,北北西,2,,,18.9(+0.5),68,1020.4,,0.0,中央氣象局,107/4/8 14:00:00
花蓮,北,1,,15,20.0(+1.5),58,1020.8,陰,0.0,中央氣象局,107/4/8 14:00:00
恆春,東北東,4,7,18,24.2(+2.8),51,1019.1,多雲,0.0,中央氣象局,107/4/8 14:00:00
高雄,西北西,3,,10,25.7(+4.2),51,1018.7,晴,0.0,中央氣象局,107/4/8 14:00:00
臺南,西北,3,,20,25.8(+6.2),45,1019.0,晴,0.0,中央氣象局,107/4/8 14:00:00
嘉義,西北西,2,,20,26.7(+8.6),48,1018.4,晴,0.0,中央氣象局,107/4/8 14:00:00
阿里山,北北東,1,,1.8,8.5(+1.4),87,,陰有靄,0.5,中央氣象局,107/4/8 14:00:00
玉山,西,2,6,30,7.4(+6.3),31,,晴,0.0,中央氣象局,107/4/8 14:00:00
日月潭,西,2,,25,20.4(+9.5),56,,多雲,0.0,中央氣象局,107/4/8 14:00:00
梧棲,西,3,,16,22.3(+5.4),55,1019.2,晴,0.0,中央氣象局,107/4/8 14:00:00
臺中,西南西,2,,12,25.2(+7.9),46,1018.5,晴,0.0,中央氣象局,107/4/8 14:00:00
新竹,西北西,2,,15,24.8(+8.1),51,1018.3,晴,0.0,中央氣象局,107/4/8 14:00:00
新屋,西南,2,,16,24.9(+7.3),49,1018.1,晴,0.0,中央氣象局,107/4/8 14:00:00
板橋,東北東,3,,20,23.9(+6.2),55,1018.3,晴,0.0,中央氣象局,107/4/8 14:00:00
臺北,東,3,,22,24.3(+6.7),43,1018.3,晴,0.0,中央氣象局,107/4/8 14:00:00
陽明山,西南,2,,12,20.0(+8.5),58,1018.6,晴,0.0,中央氣象局,107/4/8 14:00:00
鞍部,南,2,,20,18.8(+7.9),64,,晴,0.0,中央氣象局,107/4/8 14:00:00
蘇澳,南南東,3,,20,20.2(+4.0),56,1020.9,陰,0.0,中央氣象局,107/4/8 14:00:00
宜蘭,南南東,2,,20,21.2(+4.1),54,1020.7,陰,0.0,中央氣象局,107/4/8 14:00:00
基隆,東南東,3,6,30,21.9(+4.6),58,1019.4,晴,0.0,中央氣象局,107/4/8 14:00:00
彭佳嶼,東南東,5,8,25,19.3(+2.3),55,1021.3,晴,0.0,中央氣象局,107/4/8 14:00:00
南沙島,東北東,5,,10,31.0(-0.7),73,1011.2,多雲,4.0,中央氣象局,107/4/8 14:00:00
東沙島,東北,4,,10,24.2(+2.4),79,1018.5,多雲,0.0,中央氣象局,107/4/8 14:00:00
金門,東,3,,18,22.0(+1.1),39,1021.3,晴,0.0,中央氣象局,107/4/8 14:00:00
東吉島,北,4,,18,24.5(+4.5),59,1019.9,晴,0.0,中央氣象局,107/4/8 14:00:00
澎湖,北,3,,25,24.0(+4.3),52,1019.3,晴,0.0,中央氣象局,107/4/8 14:00:00
蘭嶼,北北東,3,7,20,19.1(+2.1),62,1020.3,多雲,0.0,中央氣象局,107/4/8 14:00:00
大武,北北東,2,,10,21.8(+1.6),58,1019.9,陰,0.0,中央氣象局,107/4/8 14:00:00
臺東,東北,2,,15,20.8(+0.7),61,1020.5,陰,0.0,中央氣象局,107/4/8 14:00:00
成功,北北西,2,,,18.9(+0.5),68,1020.4,,0.0,中央氣象局,107/4/8 14:00:00
花蓮,北,1,,15,20.0(+1.5),58,1020.8,陰,0.0,中央氣象局,107/4/8 14:00:00
恆春,東北東,4,7,18,24.2(+2.8),51,1019.1,多雲,0.0,中央氣象局,107/4/8 14:00:00
高雄,西北西,3,,10,25.7(+4.2),51,1018.7,晴,0.0,中央氣象局,107/4/8 14:00:00
臺南,西北,3,,20,25.8(+6.2),45,1019.0,晴,0.0,中央氣象局,107/4/8 14:00:00
嘉義,西北西,2,,20,26.7(+8.6),48,1018.4,晴,0.0,中央氣象局,107/4/8 14:00:00
阿里山,北北東,1,,1.8,8.5(+1.4),87,,陰有靄,0.5,中央氣象局,107/4/8 14:00:00
玉山,西,2,6,30,7.4(+6.3),31,,晴,0.0,中央氣象局,107/4/8 14:00:00
日月潭,西,2,,25,20.4(+9.5),56,,多雲,0.0,中央氣象局,107/4/8 14:00:00
梧棲,西,3,,16,22.3(+5.4),55,1019.2,晴,0.0,中央氣象局,107/4/8 14:00:00
臺中,西南西,2,,12,25.2(+7.9),46,1018.5,晴,0.0,中央氣象局,107/4/8 14:00:00
新竹,西北西,2,,15,24.8(+8.1),51,1018.3,晴,0.0,中央氣象局,107/4/8 14:00:00
新屋,西南,2,,16,24.9(+7.3),49,1018.1,晴,0.0,中央氣象局,107/4/8 14:00:00
板橋,東北東,3,,20,23.9(+6.2),55,1018.3,晴,0.0,中央氣象局,107/4/8 14:00:00
臺北,東,3,,22,24.3(+6.7),43,1018.3,晴,0.0,中央氣象局,107/4/8 14:00:00
陽明山,西南,2,,12,20.0(+8.5),58,1018.6,晴,0.0,中央氣象局,107/4/8 14:00:00
鞍部,南,2,,20,18.8(+7.9),64,,晴,0.0,中央氣象局,107/4/8 14:00:00
蘇澳,南南東,3,,20,20.2(+4.0),56,1020.9,陰,0.0,中央氣象局,107/4/8 14:00:00
宜蘭,南南東,2,,20,21.2(+4.1),54,1020.7,陰,0.0,中央氣象局,107/4/8 14:00:00
基隆,東南東,3,6,30,21.9(+4.6),58,1019.4,晴,0.0,中央氣象局,107/4/8 14:00:00
彭佳嶼,東南東,5,8,25,19.3(+2.3),55,1021.3,晴,0.0,中央氣象局,107/4/8 14:00:00
南沙島,東北東,5,,10,31.0(-0.7),73,1011.2,多雲,4.0,中央氣象局,107/4/8 14:00:00
東沙島,東北,4,,10,24.2(+2.4),79,1018.5,多雲,0.0,中央氣象局,107/4/8 14:00:00
金門,東,3,,18,22.0(+1.1),39,1021.3,晴,0.0,中央氣象局,107/4/8 14:00:00
東吉島,北,4,,18,24.5(+4.5),59,1019.9,晴,0.0,中央氣象局,107/4/8 14:00:00
澎湖,北,3,,25,24.0(+4.3),52,1019.3,晴,0.0,中央氣象局,107/4/8 14:00:00
蘭嶼,北北東,3,7,20,19.1(+2.1),62,1020.3,多雲,0.0,中央氣象局,107/4/8 14:00:00
大武,北北東,2,,10,21.8(+1.6),58,1019.9,陰,0.0,中央氣象局,107/4/8 14:00:00
臺東,東北,2,,15,20.8(+0.7),61,1020.5,陰,0.0,中央氣象局,107/4/8 14:00:00
成功,北北西,2,,,18.9(+0.5),68,1020.4,,0.0,中央氣象局,107/4/8 14:00:00
花蓮,北,1,,15,20.0(+1.5),58,1020.8,陰,0.0,中央氣象局,107/4/8 14:00:00
恆春,東北東,4,7,18,24.2(+2.8),51,1019.1,多雲,0.0,中央氣象局,107/4/8 14:00:00
高雄,西北西,3,,10,25.7(+4.2),51,1018.7,晴,0.0,中央氣象局,107/4/8 14:00:00
臺南,西北,3,,20,25.8(+6.2),45,1019.0,晴,0.0,中央氣象局,107/4/8 14:00:00
嘉義,西北西,2,,20,26.7(+8.6),48,1018.4,晴,0.0,中央氣象局,107/4/8 14:00:00
阿里山,北北東,1,,1.8,8.5(+1.4),87,,陰有靄,0.5,中央氣象局,107/4/8 14:00:00
玉山,西,2,6,30,7.4(+6.3),31,,晴,0.0,中央氣象局,107/4/8 14:00:00
日月潭,西,2,,25,20.4(+9.5),56,,多雲,0.0,中央氣象局,107/4/8 14:00:00
梧棲,西,3,,16,22.3(+5.4),55,1019.2,晴,0.0,中央氣象局,107/4/8 14:00:00
臺中,西南西,2,,12,25.2(+7.9),46,1018.5,晴,0.0,中央氣象局,107/4/8 14:00:00
新竹,西北西,2,,15,24.8(+8.1),51,1018.3,晴,0.0,中央氣象局,107/4/8 14:00:00
新屋,西南,2,,16,24.9(+7.3),49,1018.1,晴,0.0,中央氣象局,107/4/8 14:00:00
板橋,東北東,3,,20,23.9(+6.2),55,1018.3,晴,0.0,中央氣象局,107/4/8 14:00:00
臺北,東,3,,22,24.3(+6.7),43,1018.3,晴,0.0,中央氣象局,107/4/8 14:00:00
陽明山,西南,2,,12,20.0(+8.5),58,1018.6,晴,0.0,中央氣象局,107/4/8 14:00:00
鞍部,南,2,,20,18.8(+7.9),64,,晴,0.0,中央氣象局,107/4/8 14:00:00
蘇澳,南南東,3,,20,20.2(+4.0),56,1020.9,陰,0.0,中央氣象局,107/4/8 14:00:00
宜蘭,南南東,2,,20,21.2(+4.1),54,1020.7,陰,0.0,中央氣象局,107/4/8 14:00:00
基隆,東南東,3,6,30,21.9(+4.6),58,1019.4,晴,0.0,中央氣象局,107/4/8 14:00:00
彭佳嶼,東南東,5,8,25,19.3(+2.3),55,1021.3,晴,0.0,中央氣象局,107/4/8 14:00:00
南沙島,東北東,5,,10,31.0(-0.7),73,1011.2,多雲,4.0,中央氣象局,107/4/8 14:00:00
東沙島,東北,4,,10,24.2(+2.4),79,1018.5,多雲,0.0,中央氣象局,107/4/8 14:00:00
金門,東,3,,18,22.0(+1.1),39,1021.3,晴,0.0,中央氣象局,107/4/8 14:00:00
東吉島,北,4,,18,24.5(+4.5),59,1019.9,晴,0.0,中央氣象局,107/4/8 14:00:00
澎湖,北,3,,25,24.0(+4.3),52,1019.3,晴,0.0,中央氣象局,107/4/8 14:00:00
蘭嶼,北北東,3,7,20,19.1(+2.1),62,1020.3,多雲,0.0,中央氣象局,107/4/8 14:00:00
大武,北北東,2,,10,21.8(+1.6),58,1019.9,陰,0.0,中央氣象局,107/4/8 14:00:00
臺東,東北,2,,15,20.8(+0.7),61,1020.5,陰,0.0,中央氣象局,107/4/8 14:00:00
成功,北北西,2,,,18.9(+0.5),68,1020.4,,0.0,中央氣象局,107/4/8 14:00:00
花蓮,北,1,,15,20.0(+1.5),58,1020.8,陰,0.0,中央氣象局,107/4/8 14:00:00
恆春,東北東,4,7,18,24.2(+2.8),51,1019.1,多雲,0.0,中央氣象局,107/4/8 14:00:00
高雄,西北西,3,,10,25.7(+4.2),51,1018.7,晴,0.0,中央氣象局,107/4/8 14:00:00
臺南,西北,3,,20,25.8(+6.2),45,1019.0,晴,0.0,中央氣象局,107/4/8 14:00:00
嘉義,西北西,2,,20,26.7(+8.6),48,1018.4,晴,0.0,中央氣象局,107/4/8 14:00:00
阿里山,北北東,1,,1.8,8.5(+1.4),87,,陰有靄,0.5,中央氣象局,107/4/8 14:00:00
玉山,西,2,6,30,7.4(+6.3),31,,晴,0.0,中央氣象局,107/4/8 14:00:00
日月潭,西,2,,25,20.4(+9.5),56,,多雲,0.0,中央氣象局,107/4/8 14:00:00
梧棲,西,3,,16,22.3(+5.4),55,1019.2,晴,0.0,中央氣象局,107/4/8 14:00:00
臺中,西南西,2,,12,25.2(+7.9),46,1018.5,晴,0.0,中央氣象局,107/4/8 14:00:00
新竹,西北西,2,,15,24.8(+8.1),51,1018.3,晴,0.0,中央氣象局,107/4/8 14:00:00
新屋,西南,2,,16,24.9(+7.3),49,1018.1,晴,0.0,中央氣象局,107/4/8 14:00:00
板橋,東北東,3,,20,23.9(+6.2),55,1018.3,晴,0.0,中央氣象局,107/4/8 14:00:00
臺北,東,3,,22,24.3(+6.7),43,1018.3,晴,0.0,中央氣象局,107/4/8 14:00:00
陽明山,西南,2,,12,20.0(+8.5),58,1018.6,晴,0.0,中央氣象局,107/4/8 14:00:00
鞍部,南,2,,20,18.8(+7.9),64,,晴,0.0,中央氣象局,107/4/8 14:00:00
蘇澳,南南東,3,,20,20.2(+4.0),56,1020.9,陰,0.0,中央氣象局,107/4/8 14:00:00
宜蘭,南南東,2,,20,21.2(+4.1),54,1020.7,陰,0.0,中央氣象局,107/4/8 14:00:00
基隆,東南東,3,6,30,21.9(+4.6),58,1019.4,晴,0.0,中央氣象局,107/4/8 14:00:00
彭佳嶼,東南東,5,8,25,19.3(+2.3),55,1021.3,晴,0.0,中央氣象局,107/4/8 14:00:00
南沙島,東北東,5,,10,31.0(-0.7),73,1011.2,多雲,4.0,中央氣象局,107/4/8 14:00:00
東沙島,東北,4,,10,24.2(+2.4),79,1018.5,多雲,0.0,中央氣象局,107/4/8 14:00:00
金門,東,3,,18,22.0(+1.1),39,1021.3,晴,0.0,中央氣象局,107/4/8 14:00:00
東吉島,北,4,,18,24.5(+4.5),59,1019.9,晴,0.0,中央氣象局,107/4/8 14:00:00
澎湖,北,3,,25,24.0(+4.3),52,1019.3,晴,0.0,中央氣象局,107/4/8 14:00:00
蘭嶼,北北東,3,7,20,19.1(+2.1),62,1020.3,多雲,0.0,中央氣象局,107/4/8 14:00:00
大武,北北東,2,,10,21.8(+1.6),58,1019.9,陰,0.0,中央氣象局,107/4/8 14:00:00
臺東,東北,2,,15,20.8(+0.7),61,1020.5,陰,0.0,中央氣象局,107/4/8 14:00:00
成功,北北西,2,,,18.9(+0.5),68,1020.4,,0.0,中央氣象局,107/4/8 14:00:00
花蓮,北,1,,15,20.0(+1.5),58,1020.8,陰,0.0,中央氣象局,107/4/8 14:00:00
恆春,東北東,4,7,18,24.2(+2.8),51,1019.1,多雲,0.0,中央氣象局,107/4/8 14:00:00
高雄,西北西,3,,10,25.7(+4.2),51,1018.7,晴,0.0,中央氣象局,107/4/8 14:00:00
臺南,西北,3,,20,25.8(+6.2),45,1019.0,晴,0.0,中央氣象局,107/4/8 14:00:00
嘉義,西北西,2,,20,26.7(+8.6),48,1018.4,晴,0.0,中央氣象局,107/4/8 14:00:00
阿里山,北北東,1,,1.8,8.5(+1.4),87,,陰有靄,0.5,中央氣象局,107/4/8 14:00:00
玉山,西,2,6,30,7.4(+6.3),31,,晴,0.0,中央氣象局,107/4/8 14:00:00
日月潭,西,2,,25,20.4(+9.5),56,,多雲,0.0,中央氣象局,107/4/8 14:00:00
梧棲,西,3,,16,22.3(+5.4),55,1019.2,晴,0.0,中央氣象局,107/4/8 14:00:00
臺中,西南西,2,,12,25.2(+7.9),46,1018.5,晴,0.0,中央氣象局,107/4/8 14:00:00
新竹,西北西,2,,15,24.8(+8.1),51,1018.3,晴,0.0,中央氣象局,107/4/8 14:00:00
新屋,西南,2,,16,24.9(+7.3),49,1018.1,晴,0.0,中央氣象局,107/4/8 14:00:00
板橋,東北東,3,,20,23.9(+6.2),55,1018.3,晴,0.0,中央氣象局,107/4/8 14:00:00
臺北,東,3,,22,24.3(+6.7),43,1018.3,晴,0.0,中央氣象局,107/4/8 14:00:00
陽明山,西南,2,,12,20.0(+8.5),58,1018.6,晴,0.0,中央氣象局,107/4/8 14:00:00
鞍部,南,2,,20,18.8(+7.9),64,,晴,0.0,中央氣象局,107/4/8 14:00:00
蘇澳,南南東,3,,20,20.2(+4.0),56,1020.9,陰,0.0,中央氣象局,107/4/8 14:00:00
宜蘭,南南東,2,,20,21.2(+4.1),54,1020.7,陰,0.0,中央氣象局,107/4/8 14:00:00
基隆,東南東,3,6,30,21.9(+4.6),58,1019.4,晴,0.0,中央氣象局,107/4/8 14:00:00
彭佳嶼,東南東,5,8,25,19.3(+2.3),55,1021.3,晴,0.0,中央氣象局,107/4/8 14:00:00
南沙島,東北東,5,,10,30.7(-1.1),73,1012.2,多雲,4.0,中央氣象局,107/4/8 13:00:00
東沙島,東北,4,,10,22.6(+1.2),77,1019.4,多雲,0.0,中央氣象局,107/4/8 13:00:00
馬祖,北北東,2,,,19.7(+3.5),58,1022.7,,0.0,中央氣象局,107/4/8 13:00:00
金門,北,2,,,21.7(+0.4),35,1022.3,,0.0,中央氣象局,107/4/8 13:00:00
東吉島,北,4,,,24.4(+4.2),58,1020.5,,0.0,中央氣象局,107/4/8 13:00:00
澎湖,北,3,,,23.6(+4.1),53,1020.1,晴,0.0,中央氣象局,107/4/8 13:00:00
蘭嶼,北北東,4,6,,19.5(+2.3),60,1020.6,,0.0,中央氣象局,107/4/8 13:00:00
大武,北北東,3,,,22.5(+2.5),56,1020.4,,0.0,中央氣象局,107/4/8 13:00:00
臺東,東北東,2,,,21.6(+1.8),58,1020.9,陰,0.0,中央氣象局,107/4/8 13:00:00
成功,北北東,3,,,19.8(+1.2),62,1021.1,,0.0,中央氣象局,107/4/8 13:00:00
花蓮,東北,2,,,19.9(+1.6),57,1021.6,陰,0.0,中央氣象局,107/4/8 13:00:00
恆春,東北,4,7,,24.6(+3.1),53,1019.7,陰,0.0,中央氣象局,107/4/8 13:00:00
高雄,西北西,3,,,25.3(+3.3),50,1019.3,晴有霾,0.0,中央氣象局,107/4/8 13:00:00
臺南,西,3,,,25.1(+6.0),46,1019.5,多雲,0.0,中央氣象局,107/4/8 13:00:00
嘉義,西北西,2,,,26.5(+7.7),43,1019.0,晴,0.0,中央氣象局,107/4/8 13:00:00
阿里山,東北,1,,,8.6(+1.0),86,,,0.5,中央氣象局,107/4/8 13:00:00
玉山,西,3,6,,9.1(+7.9),24,,,0.0,中央氣象局,107/4/8 13:00:00
日月潭,西北,1,,,21.0(+9.0),57,,,0.0,中央氣象局,107/4/8 13:00:00
梧棲,西南西,3,,,22.3(+5.8),50,1019.6,,0.0,中央氣象局,107/4/8 13:00:00
臺中,南南西,2,,,25.6(+8.5),44,1018.8,晴,0.0,中央氣象局,107/4/8 13:00:00
新竹,西,2,,,24.1(+8.7),51,1018.7,晴,0.0,中央氣象局,107/4/8 13:00:00
新屋,西南,1,,,25.3(+9.8),49,1018.6,,0.0,中央氣象局,107/4/8 13:00:00
板橋,東北東,3,,,24.0(+7.6),53,1019.0,,0.0,中央氣象局,107/4/8 13:00:00
臺北,東,3,,,24.4(+7.6),43,1019.0,晴,0.0,中央氣象局,107/4/8 13:00:00
陽明山,西南,2,,,19.3(+8.9),59,1019.6,,0.0,中央氣象局,107/4/8 13:00:00
蘇澳,南南東,3,,,20.8(+4.5),55,1021.5,,0.0,中央氣象局,107/4/8 13:00:00
宜蘭,南南東,2,,,21.0(+3.9),53,1021.4,陰,0.0,中央氣象局,107/4/8 13:00:00
基隆,東南,4,6,,21.8(+5.2),58,1020.1,多雲,0.0,中央氣象局,107/4/8 13:00:00
彭佳嶼,東南東,5,7,,19.2(+2.3),54,1021.6,,0.0,中央氣象局,107/4/8 13:00:00
南沙島,東北東,5,,10,30.7(-1.1),73,1012.2,多雲,4.0,中央氣象局,107/4/8 13:00:00
東沙島,東北,4,,10,22.6(+1.2),77,1019.4,多雲,0.0,中央氣象局,107/4/8 13:00:00
馬祖,北北東,2,,,19.7(+3.5),58,1022.7,,0.0,中央氣象局,107/4/8 13:00:00
金門,北,2,,,21.7(+0.4),35,1022.3,,0.0,中央氣象局,107/4/8 13:00:00
東吉島,北,4,,,24.4(+4.2),58,1020.5,,0.0,中央氣象局,107/4/8 13:00:00
澎湖,北,3,,,23.6(+4.1),53,1020.1,晴,0.0,中央氣象局,107/4/8 13:00:00
蘭嶼,北北東,4,6,,19.5(+2.3),60,1020.6,,0.0,中央氣象局,107/4/8 13:00:00
大武,北北東,3,,,22.5(+2.5),56,1020.4,,0.0,中央氣象局,107/4/8 13:00:00
臺東,東北東,2,,,21.6(+1.8),58,1020.9,陰,0.0,中央氣象局,107/4/8 13:00:00
成功,北北東,3,,,19.8(+1.2),62,1021.1,,0.0,中央氣象局,107/4/8 13:00:00
花蓮,東北,2,,,19.9(+1.6),57,1021.6,陰,0.0,中央氣象局,107/4/8 13:00:00
恆春,東北,4,7,,24.6(+3.1),53,1019.7,陰,0.0,中央氣象局,107/4/8 13:00:00
高雄,西北西,3,,,25.3(+3.3),50,1019.3,晴有霾,0.0,中央氣象局,107/4/8 13:00:00
臺南,西,3,,,25.1(+6.0),46,1019.5,多雲,0.0,中央氣象局,107/4/8 13:00:00
嘉義,西北西,2,,,26.5(+7.7),43,1019.0,晴,0.0,中央氣象局,107/4/8 13:00:00
阿里山,東北,1,,,8.6(+1.0),86,,,0.5,中央氣象局,107/4/8 13:00:00
玉山,西,3,6,,9.1(+7.9),24,,,0.0,中央氣象局,107/4/8 13:00:00
日月潭,西北,1,,,21.0(+9.0),57,,,0.0,中央氣象局,107/4/8 13:00:00
梧棲,西南西,3,,,22.3(+5.8),50,1019.6,,0.0,中央氣象局,107/4/8 13:00:00
臺中,南南西,2,,,25.6(+8.5),44,1018.8,晴,0.0,中央氣象局,107/4/8 13:00:00
