SiteName,WindDirection,WindPower,Gust,Visibility,Temperature,Moisture,AtmosphericPressure,Weather,Rainfall1day,Unit,DataCreationDate
新竹,西,2,,,24.1(+8.7),51,1018.7,晴,0.0,中央氣象局,107/4/8 13:00:00
新屋,西南,1,,,25.3(+9.8),49,1018.6,,0.0,中央氣象局,107/4/8 13:00:00
板橋,東北東,3,,,24.0(+7.6),53,1019.0,,0.0,中央氣象局,107/4/8 13:00:00
臺北,東,3,,,24.4(+7.6),43,1019.0,晴,0.0,中央氣象局,107/4/8 13:00:00
陽明山,西南,2,,,19.3(+8.9),59,1019.6,,0.0,中央氣象局,107/4/8 13:00:00
蘇澳,南南東,3,,,20.8(+4.5),55,1021.5,,0.0,中央氣象局,107/4/8 13:00:00
宜蘭,南南東,2,,,21.0(+3.9),53,1021.4,陰,0.0,中央氣象局,107/4/8 13:00:00
基隆,東南,4,6,,21.8(+5.2),58,1020.1,多雲,0.0,中央氣象局,107/4/8 13:00:00
彭佳嶼,東南東,5,7,,19.2(+2.3),54,1021.6,,0.0,中央氣象局,107/4/8 13:00:00
南沙島,東北東,5,,10,30.7(-1.1),73,1012.2,多雲,4.0,中央氣象局,107/4/8 13:00:00
東沙島,東北,4,,10,22.6(+1.2),77,1019.4,多雲,0.0,中央氣象局,107/4/8 13:00:00
馬祖,北北東,2,,,19.7(+3.5),58,1022.7,,0.0,中央氣象局,107/4/8 13:00:00
金門,北,2,,,21.7(+0.4),35,1022.3,,0.0,中央氣象局,107/4/8 13:00:00
東吉島,北,4,,,24.4(+4.2),58,1020.5,,0.0,中央氣象局,107/4/8 13:00:00
澎湖,北,3,,,23.6(+4.1),53,1020.1,晴,0.0,中央氣象局,107/4/8 13:00:00
蘭嶼,北北東,4,6,,19.5(+2.3),60,1020.6,,0.0,中央氣象局,107/4/8 13:00:00
大武,北北東,3,,,22.5(+2.5),56,1020.4,,0.0,中央氣象局,107/4/8 13:00:00
臺東,東北東,2,,,21.6(+1.8),58,1020.9,陰,0.0,中央氣象局,107/4/8 13:00:00
成功,北北東,3,,,19.8(+1.2),62,1021.1,,0.0,中央氣象局,107/4/8 13:00:00
花蓮,東北,2,,,19.9(+1.6),57,1021.6,陰,0.0,中央氣象局,107/4/8 13:00:00
恆春,東北,4,7,,24.6(+3.1),53,1019.7,陰,0.0,中央氣象局,107/4/8 13:00:00
高雄,西北西,3,,,25.3(+3.3),50,1019.3,晴有霾,0.0,中央氣象局,107/4/8 13:00:00
臺南,西,3,,,25.1(+6.0),46,1019.5,多雲,0.0,中央氣象局,107/4/8 13:00:00
嘉義,西北西,2,,,26.5(+7.7),43,1019.0,晴,0.0,中央氣象局,107/4/8 13:00:00
阿里山,東北,1,,,8.6(+1.0),86,,,0.5,中央氣象局,107/4/8 13:00:00
玉山,西,3,6,,9.1(+7.9),24,,,0.0,中央氣象局,107/4/8 13:00:00
日月潭,西北,1,,,21.0(+9.0),57,,,0.0,中央氣象局,107/4/8 13:00:00
梧棲,西南西,3,,,22.3(+5.8),50,1019.6,,0.0,中央氣象局,107/4/8 13:00:00
臺中,南南西,2,,,25.6(+8.5),44,1018.8,晴,0.0,中央氣象局,107/4/8 13:00:00
新竹,西,2,,,24.1(+8.7),51,1018.7,晴,0.0,中央氣象局,107/4/8 13:00:00
新屋,西南,1,,,25.3(+9.8),49,1018.6,,0.0,中央氣象局,107/4/8 13:00:00
板橋,東北東,3,,,24.0(+7.6),53,1019.0,,0.0,中央氣象局,107/4/8 13:00:00
臺北,東,3,,,24.4(+7.6),43,1019.0,晴,0.0,中央氣象局,107/4/8 13:00:00
陽明山,西南,2,,,19.3(+8.9),59,1019.6,,0.0,中央氣象局,107/4/8 13:00:00
蘇澳,南南東,3,,,20.8(+4.5),55,1021.5,,0.0,中央氣象局,107/4/8 13:00:00
宜蘭,南南東,2,,,21.0(+3.9),53,1021.4,陰,0.0,中央氣象局,107/4/8 13:00:00
基隆,東南,4,6,,21.8(+5.2),58,1020.1,多雲,0.0,中央氣象局,107/4/8 13:00:00
彭佳嶼,東南東,5,7,,19.2(+2.3),54,1021.6,,0.0,中央氣象局,107/4/8 13:00:00
南沙島,東北東,4,,8,30.4(-1.0),76,1013.0,晴,4.0,中央氣象局,107/4/8 11:00:00
東沙島,東北,4,,10,22.5(+4.6),78,1020.2,多雲,0.0,中央氣象局,107/4/8 11:00:00
馬祖,北北東,2,,20,18.1(+1.9),61,1024.2,晴,0.0,中央氣象局,107/4/8 11:00:00
金門,北北東,2,,18,20.5(+1.9),44,1023.9,晴,0.0,中央氣象局,107/4/8 11:00:00
東吉島,北,4,6,20,23.6(+3.9),57,1021.5,晴,0.0,中央氣象局,107/4/8 11:00:00
澎湖,北,3,,25,23.2(+3.8),53,1021.0,多雲,0.0,中央氣象局,107/4/8 11:00:00
蘭嶼,東北,4,8,20,19.5(+2.3),59,1021.8,多雲,0.0,中央氣象局,107/4/8 11:00:00
大武,北北東,3,,10,22.6(+2.4),55,1021.8,多雲,0.0,中央氣象局,107/4/8 11:00:00
臺東,東北東,3,,20,23.4(+4.0),53,1022.1,多雲,0.0,中央氣象局,107/4/8 11:00:00
成功,東北,3,,,22.6(+4.0),56,1022.0,,0.0,中央氣象局,107/4/8 11:00:00
花蓮,東南東,2,,15,21.9(+4.1),56,1022.6,多雲,0.0,中央氣象局,107/4/8 11:00:00
恆春,東北,4,8,18,23.4(+2.4),57,1020.0,多雲,0.0,中央氣象局,107/4/8 11:00:00
高雄,西北西,2,,8,23.7(+3.1),58,1020.5,晴有霾,0.0,中央氣象局,107/4/8 11:00:00
臺南,西南,1,,15,23.5(+4.5),49,1020.7,多雲,0.0,中央氣象局,107/4/8 11:00:00
嘉義,西,3,,15,25.1(+6.9),49,1020.2,晴,0.0,中央氣象局,107/4/8 11:00:00
阿里山,北北西,1,,16,8.8(+0.6),83,,多雲,0.5,中央氣象局,107/4/8 11:00:00
玉山,西南西,2,6,30,7.9(+6.4),24,,多雲,0.0,中央氣象局,107/4/8 11:00:00
日月潭,西北,1,,25,20.2(+8.8),61,,多雲,0.0,中央氣象局,107/4/8 11:00:00
梧棲,南南西,2,,15,22.2(+6.0),49,1020.5,晴,0.0,中央氣象局,107/4/8 11:00:00
臺中,南,2,,12,24.4(+7.2),52,1019.9,晴,0.0,中央氣象局,107/4/8 11:00:00
新竹,西北西,1,,20,24.4(+9.7),48,1019.8,晴,0.0,中央氣象局,107/4/8 11:00:00
新屋,東,2,,16,24.0(+9.4),49,1019.9,晴,0.0,中央氣象局,107/4/8 11:00:00
板橋,東北東,2,,20,22.7(+7.0),56,1020.6,晴,0.0,中央氣象局,107/4/8 11:00:00
臺北,東,3,,25,22.6(+6.6),47,1020.8,晴,0.0,中央氣象局,107/4/8 11:00:00
陽明山,南南西,1,,25,18.7(+8.5),59,1021.2,晴,0.0,中央氣象局,107/4/8 11:00:00
鞍部,南,2,6,20,15.8(+7.5),68,,多雲,0.0,中央氣象局,107/4/8 11:00:00
蘇澳,東南東,3,,20,19.3(+3.4),57,1023.1,陰,0.0,中央氣象局,107/4/8 11:00:00
宜蘭,東南,2,,20,20.4(+4.3),55,1023.0,陰,0.0,中央氣象局,107/4/8 11:00:00
基隆,東南,3,,30,20.7(+3.8),59,1021.8,晴,0.0,中央氣象局,107/4/8 11:00:00
彭佳嶼,東南東,5,7,25,18.9(+3.1),53,1023.1,晴,0.0,中央氣象局,107/4/8 11:00:00
南沙島,東北東,4,,8,30.4(-1.0),76,1013.0,晴,4.0,中央氣象局,107/4/8 11:00:00
東沙島,東北,4,,10,22.5(+4.6),78,1020.2,多雲,0.0,中央氣象局,107/4/8 11:00:00
馬祖,北北東,2,,20,18.1(+1.9),61,1024.2,晴,0.0,中央氣象局,107/4/8 11:00:00
金門,北北東,2,,18,20.5(+1.9),44,1023.9,晴,0.0,中央氣象局,107/4/8 11:00:00
東吉島,北,4,6,20,23.6(+3.9),57,1021.5,晴,0.0,中央氣象局,107/4/8 11:00:00
澎湖,北,3,,25,23.2(+3.8),53,1021.0,多雲,0.0,中央氣象局,107/4/8 11:00:00
蘭嶼,東北,4,8,20,19.5(+2.3),59,1021.8,多雲,0.0,中央氣象局,107/4/8 11:00:00
大武,北北東,3,,10,22.6(+2.4),55,1021.8,多雲,0.0,中央氣象局,107/4/8 11:00:00
臺東,東北東,3,,20,23.4(+4.0),53,1022.1,多雲,0.0,中央氣象局,107/4/8 11:00:00
成功,東北,3,,,22.6(+4.0),56,1022.0,,0.0,中央氣象局,107/4/8 11:00:00
花蓮,東南東,2,,15,21.9(+4.1),56,1022.6,多雲,0.0,中央氣象局,107/4/8 11:00:00
恆春,東北,4,8,18,23.4(+2.4),57,1020.0,多雲,0.0,中央氣象局,107/4/8 11:00:00
高雄,西北西,2,,8,23.7(+3.1),58,1020.5,晴有霾,0.0,中央氣象局,107/4/8 11:00:00
臺南,西南,1,,15,23.5(+4.5),49,1020.7,多雲,0.0,中央氣象局,107/4/8 11:00:00
嘉義,西,3,,15,25.1(+6.9),49,1020.2,晴,0.0,中央氣象局,107/4/8 11:00:00
阿里山,北北西,1,,16,8.8(+0.6),83,,多雲,0.5,中央氣象局,107/4/8 11:00:00
玉山,西南西,2,6,30,7.9(+6.4),24,,多雲,0.0,中央氣象局,107/4/8 11:00:00
日月潭,西北,1,,25,20.2(+8.8),61,,多雲,0.0,中央氣象局,107/4/8 11:00:00
梧棲,南南西,2,,15,22.2(+6.0),49,1020.5,晴,0.0,中央氣象局,107/4/8 11:00:00
臺中,南,2,,12,24.4(+7.2),52,1019.9,晴,0.0,中央氣象局,107/4/8 11:00:00
新竹,西北西,1,,20,24.4(+9.7),48,1019.8,晴,0.0,中央氣象局,107/4/8 11:00:00
新屋,東,2,,16,24.0(+9.4),49,1019.9,晴,0.0,中央氣象局,107/4/8 11:00:00
板橋,東北東,2,,20,22.7(+7.0),56,1020.6,晴,0.0,中央氣象局,107/4/8 11:00:00
臺北,東,3,,25,22.6(+6.6),47,1020.8,晴,0.0,中央氣象局,107/4/8 11:00:00
陽明山,南南西,1,,25,18.7(+8.5),59,1021.2,晴,0.0,中央氣象局,107/4/8 11:00:00
鞍部,南,2,6,20,15.8(+7.5),68,,多雲,0.0,中央氣象局,107/4/8 11:00:00
蘇澳,東南東,3,,20,19.3(+3.4),57,1023.1,陰,0.0,中央氣象局,107/4/8 11:00:00
宜蘭,東南,2,,20,20.4(+4.3),55,1023.0,陰,0.0,中央氣象局,107/4/8 11:00:00
基隆,東南,3,,30,20.7(+3.8),59,1021.8,晴,0.0,中央氣象局,107/4/8 11:00:00
彭佳嶼,東南東,5,7,25,18.9(+3.1),53,1023.1,晴,0.0,中央氣象局,107/4/8 11:00:00
南沙島,東北東,4,,8,30.4(-1.0),76,1013.0,晴,4.0,中央氣象局,107/4/8 11:00:00
東沙島,東北,4,,10,22.5(+4.6),78,1020.2,多雲,0.0,中央氣象局,107/4/8 11:00:00
馬祖,北北東,2,,20,18.1(+1.9),61,1024.2,晴,0.0,中央氣象局,107/4/8 11:00:00
金門,北北東,2,,18,20.5(+1.9),44,1023.9,晴,0.0,中央氣象局,107/4/8 11:00:00
東吉島,北,4,6,20,23.6(+3.9),57,1021.5,晴,0.0,中央氣象局,107/4/8 11:00:00
澎湖,北,3,,25,23.2(+3.8),53,1021.0,多雲,0.0,中央氣象局,107/4/8 11:00:00
蘭嶼,東北,4,8,20,19.5(+2.3),59,1021.8,多雲,0.0,中央氣象局,107/4/8 11:00:00
大武,北北東,3,,10,22.6(+2.4),55,1021.8,多雲,0.0,中央氣象局,107/4/8 11:00:00
臺東,東北東,3,,20,23.4(+4.0),53,1022.1,多雲,0.0,中央氣象局,107/4/8 11:00:00
成功,東北,3,,,22.6(+4.0),56,1022.0,,0.0,中央氣象局,107/4/8 11:00:00
花蓮,東南東,2,,15,21.9(+4.1),56,1022.6,多雲,0.0,中央氣象局,107/4/8 11:00:00
恆春,東北,4,8,18,23.4(+2.4),57,1020.0,多雲,0.0,中央氣象局,107/4/8 11:00:00
高雄,西北西,2,,8,23.7(+3.1),58,1020.5,晴有霾,0.0,中央氣象局,107/4/8 11:00:00
臺南,西南,1,,15,23.5(+4.5),49,1020.7,多雲,0.0,中央氣象局,107/4/8 11:00:00
嘉義,西,3,,15,25.1(+6.9),49,1020.2,晴,0.0,中央氣象局,107/4/8 11:00:00
阿里山,北北西,1,,16,8.8(+0.6),83,,多雲,0.5,中央氣象局,107/4/8 11:00:00
玉山,西南西,2,6,30,7.9(+6.4),24,,多雲,0.0,中央氣象局,107/4/8 11:00:00
日月潭,西北,1,,25,20.2(+8.8),61,,多雲,0.0,中央氣象局,107/4/8 11:00:00
梧棲,南南西,2,,15,22.2(+6.0),49,1020.5,晴,0.0,中央氣象局,107/4/8 11:00:00
臺中,南,2,,12,24.4(+7.2),52,1019.9,晴,0.0,中央氣象局,107/4/8 11:00:00
新竹,西北西,1,,20,24.4(+9.7),48,1019.8,晴,0.0,中央氣象局,107/4/8 11:00:00
新屋,東,2,,16,24.0(+9.4),49,1019.9,晴,0.0,中央氣象局,107/4/8 11:00:00
板橋,東北東,2,,20,22.7(+7.0),56,1020.6,晴,0.0,中央氣象局,107/4/8 11:00:00
臺北,東,3,,25,22.6(+6.6),47,1020.8,晴,0.0,中央氣象局,107/4/8 11:00:00
陽明山,南南西,1,,25,18.7(+8.5),59,1021.2,晴,0.0,中央氣象局,107/4/8 11:00:00
鞍部,南,2,6,20,15.8(+7.5),68,,多雲,0.0,中央氣象局,107/4/8 11:00:00
蘇澳,東南東,3,,20,19.3(+3.4),57,1023.1,陰,0.0,中央氣象局,107/4/8 11:00:00
宜蘭,東南,2,,20,20.4(+4.3),55,1023.0,陰,0.0,中央氣象局,107/4/8 11:00:00
基隆,東南,3,,30,20.7(+3.8),59,1021.8,晴,0.0,中央氣象局,107/4/8 11:00:00
彭佳嶼,東南東,5,7,25,18.9(+3.1),53,1023.1,晴,0.0,中央氣象局,107/4/8 11:00:00
南沙島,東北東,4,,8,30.4(-1.0),76,1013.0,晴,4.0,中央氣象局,107/4/8 11:00:00
東沙島,東北,4,,10,22.5(+4.6),78,1020.2,多雲,0.0,中央氣象局,107/4/8 11:00:00
馬祖,北北東,2,,20,18.1(+1.9),61,1024.2,晴,0.0,中央氣象局,107/4/8 11:00:00
金門,北北東,2,,18,20.5(+1.9),44,1023.9,晴,0.0,中央氣象局,107/4/8 11:00:00
東吉島,北,4,6,20,23.6(+3.9),57,1021.5,晴,0.0,中央氣象局,107/4/8 11:00:00
澎湖,北,3,,25,23.2(+3.8),53,1021.0,多雲,0.0,中央氣象局,107/4/8 11:00:00
蘭嶼,東北,4,8,20,19.5(+2.3),59,1021.8,多雲,0.0,中央氣象局,107/4/8 11:00:00
大武,北北東,3,,10,22.6(+2.4),55,1021.8,多雲,0.0,中央氣象局,107/4/8 11:00:00
臺東,東北東,3,,20,23.4(+4.0),53,1022.1,多雲,0.0,中央氣象局,107/4/8 11:00:00
成功,東北,3,,,22.6(+4.0),56,1022.0,,0.0,中央氣象局,107/4/8 11:00:00
花蓮,東南東,2,,15,21.9(+4.1),56,1022.6,多雲,0.0,中央氣象局,107/4/8 11:00:00
恆春,東北,4,8,18,23.4(+2.4),57,1020.0,多雲,0.0,中央氣象局,107/4/8 11:00:00
高雄,西北西,2,,8,23.7(+3.1),58,1020.5,晴有霾,0.0,中央氣象局,107/4/8 11:00:00
臺南,西南,1,,15,23.5(+4.5),49,1020.7,多雲,0.0,中央氣象局,107/4/8 11:00:00
嘉義,西,3,,15,25.1(+6.9),49,1020.2,晴,0.0,中央氣象局,107/4/8 11:00:00
阿里山,北北西,1,,16,8.8(+0.6),83,,多雲,0.5,中央氣象局,107/4/8 11:00:00
玉山,西南西,2,6,30,7.9(+6.4),24,,多雲,0.0,中央氣象局,107/4/8 11:00:00
日月潭,西北,1,,25,20.2(+8.8),61,,多雲,0.0,中央氣象局,107/4/8 11:00:00
梧棲,南南西,2,,15,22.2(+6.0),49,1020.5,晴,0.0,中央氣象局,107/4/8 11:00:00
臺中,南,2,,12,24.4(+7.2),52,1019.9,晴,0.0,中央氣象局,107/4/8 11:00:00
新竹,西北西,1,,20,24.4(+9.7),48,1019.8,晴,0.0,中央氣象局,107/4/8 11:00:00
新屋,東,2,,16,24.0(+9.4),49,1019.9,晴,0.0,中央氣象局,107/4/8 11:00:00
板橋,東北東,2,,20,22.7(+7.0),56,1020.6,晴,0.0,中央氣象局,107/4/8 11:00:00
臺北,東,3,,25,22.6(+6.6),47,1020.8,晴,0.0,中央氣象局,107/4/8 11:00:00
陽明山,南南西,1,,25,18.7(+8.5),59,1021.2,晴,0.0,中央氣象局,107/4/8 11:00:00
鞍部,南,2,6,20,15.8(+7.5),68,,多雲,0.0,中央氣象局,107/4/8 11:00:00
蘇澳,東南東,3,,20,19.3(+3.4),57,1023.1,陰,0.0,中央氣象局,107/4/8 11:00:00
宜蘭,東南,2,,20,20.4(+4.3),55,1023.0,陰,0.0,中央氣象局,107/4/8 11:00:00
基隆,東南,3,,30,20.7(+3.8),59,1021.8,晴,0.0,中央氣象局,107/4/8 11:00:00
彭佳嶼,東南東,5,7,25,18.9(+3.1),53,1023.1,晴,0.0,中央氣象局,107/4/8 11:00:00
南沙島,東北東,4,,8,30.4(-1.0),76,1013.0,晴,4.0,中央氣象局,107/4/8 11:00:00
東沙島,東北,4,,10,22.5(+4.6),78,1020.2,多雲,0.0,中央氣象局,107/4/8 11:00:00
馬祖,北北東,2,,20,18.1(+1.9),61,1024.2,晴,0.0,中央氣象局,107/4/8 11:00:00
金門,北北東,2,,18,20.5(+1.9),44,1023.9,晴,0.0,中央氣象局,107/4/8 11:00:00
東吉島,北,4,6,20,23.6(+3.9),57,1021.5,晴,0.0,中央氣象局,107/4/8 11:00:00
澎湖,北,3,,25,23.2(+3.8),53,1021.0,多雲,0.0,中央氣象局,107/4/8 11:00:00
蘭嶼,東北,4,8,20,19.5(+2.3),59,1021.8,多雲,0.0,中央氣象局,107/4/8 11:00:00
大武,北北東,3,,10,22.6(+2.4),55,1021.8,多雲,0.0,中央氣象局,107/4/8 11:00:00
臺東,東北東,3,,20,23.4(+4.0),53,1022.1,多雲,0.0,中央氣象局,107/4/8 11:00:00
成功,東北,3,,,22.6(+4.0),56,1022.0,,0.0,中央氣象局,107/4/8 11:00:00
花蓮,東南東,2,,15,21.9(+4.1),56,1022.6,多雲,0.0,中央氣象局,107/4/8 11:00:00
恆春,東北,4,8,18,23.4(+2.4),57,1020.0,多雲,0.0,中央氣象局,107/4/8 11:00:00
高雄,西北西,2,,8,23.7(+3.1),58,1020.5,晴有霾,0.0,中央氣象局,107/4/8 11:00:00
臺南,西南,1,,15,23.5(+4.5),49,1020.7,多雲,0.0,中央氣象局,107/4/8 11:00:00
嘉義,西,3,,15,25.1(+6.9),49,1020.2,晴,0.0,中央氣象局,107/4/8 11:00:00
阿里山,北北西,1,,16,8.8(+0.6),83,,多雲,0.5,中央氣象局,107/4/8 11:00:00
玉山,西南西,2,6,30,7.9(+6.4),24,,多雲,0.0,中央氣象局,107/4/8 11:00:00
日月潭,西北,1,,25,20.2(+8.8),61,,多雲,0.0,中央氣象局,107/4/8 11:00:00
梧棲,南南西,2,,15,22.2(+6.0),49,1020.5,晴,0.0,中央氣象局,107/4/8 11:00:00
臺中,南,2,,12,24.4(+7.2),52,1019.9,晴,0.0,中央氣象局,107/4/8 11:00:00
新竹,西北西,1,,20,24.4(+9.7),48,1019.8,晴,0.0,中央氣象局,107/4/8 11:00:00
新屋,東,2,,16,24.0(+9.4),49,1019.9,晴,0.0,中央氣象局,107/4/8 11:00:00
板橋,東北東,2,,20,22.7(+7.0),56,1020.6,晴,0.0,中央氣象局,107/4/8 11:00:00
臺北,東,3,,25,22.6(+6.6),47,1020.8,晴,0.0,中央氣象局,107/4/8 11:00:00
陽明山,南南西,1,,25,18.7(+8.5),59,1021.2,晴,0.0,中央氣象局,107/4/8 11:00:00
鞍部,南,2,6,20,15.8(+7.5),68,,多雲,0.0,中央氣象局,107/4/8 11:00:00
蘇澳,東南東,3,,20,19.3(+3.4),57,1023.1,陰,0.0,中央氣象局,107/4/8 11:00:00
宜蘭,東南,2,,20,20.4(+4.3),55,1023.0,陰,0.0,中央氣象局,107/4/8 11:00:00
基隆,東南,3,,30,20.7(+3.8),59,1021.8,晴,0.0,中央氣象局,107/4/8 11:00:00
彭佳嶼,東南東,5,7,25,18.9(+3.1),53,1023.1,晴,0.0,中央氣象局,107/4/8 11:00:00
南沙島,東北東,4,,8,29.0(-2.0),81,1013.2,多雲,4.0,中央氣象局,107/4/8 10:00:00
東沙島,東北,4,6,10,22.3(+1.5),76,1020.4,多雲,0.0,中央氣象局,107/4/8 10:00:00
馬祖,北北東,2,,,17.9(+2.5),64,1024.6,,0.0,中央氣象局,107/4/8 10:00:00
金門,東北,2,,,19.5(+2.7),45,1024.1,,0.0,中央氣象局,107/4/8 10:00:00
東吉島,北,4,,,23.3(+4.0),58,1021.7,,0.0,中央氣象局,107/4/8 10:00:00
澎湖,北,3,,,22.8(+3.7),51,1021.2,晴,0.0,中央氣象局,107/4/8 10:00:00
蘭嶼,北北東,3,7,,18.9(+1.9),61,1022.3,,0.0,中央氣象局,107/4/8 10:00:00
